Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_90,Daily_Return,Volatility,Year,Month,EMA_30,Lag_1,Lag_2,Lag_3
2015-06-22,127.489998,128.059998,127.080002,127.610001,117.394821,34039300,127.5969992,128.3711993,0.007977906919082178,1.8272588676249968,2015,6,128.27919865174448,126.599998,127.879997,127.300003
2015-06-23,127.480003,127.610001,126.879997,127.029999,116.861244,30268900,127.5579993,128.37479932,-0.004545113983660198,1.7973609228191665,2015,6,128.19860512582548,127.610001,126.599998,127.879997
2015-06-24,127.209999,129.800003,127.120003,128.110001,117.85482,55280900,127.48099889999999,128.41099928,0.00850194448950603,1.7116300923499321,2015,6,128.19288873061095,127.029999,127.610001,126.599998
2015-06-25,128.860001,129.199997,127.5,127.5,117.29364,31938100,127.3719993,128.42539929999998,-0.004761540826153099,1.6428744191667481,2015,6,128.14818623186184,128.110001,127.029999,127.610001
2015-06-26,127.669998,127.989998,126.510002,126.75,116.603653,44066800,127.32999949999999,128.43699934,-0.00588235294117645,1.6945936694475519,2015,6,128.0579806685159,127.5,128.110001,127.029999
2015-06-29,125.459999,126.470001,124.480003,124.529999,114.561371,49161400,127.0909996,128.43259932,-0.01751480078895462,1.8771861887097638,2015,6,127.8303689479665,126.75,127.5,128.110001
2015-06-30,125.57,126.120003,124.860001,125.43,115.389328,44370700,126.8739998,128.38919936,0.007227182263126908,1.9560037459010817,2015,6,127.67550643519448,124.529999,126.75,127.5
2015-07-01,126.900002,126.940002,125.989998,126.599998,116.465683,30238800,126.80399930000002,128.38299924,0.009327896037630401,1.9717332149221878,2015,7,127.60611879421418,125.43,124.529999,126.75
2015-07-02,126.43,126.690002,125.769997,126.440002,116.318474,27211000,126.65999980000001,128.33939938,-0.0012637914891593383,1.9859264562612597,2015,7,127.53088545265199,126.599998,125.43,124.529999
2015-07-06,124.940002,126.230003,124.849998,126.0,115.913704,28060400,126.6,128.26599941999999,-0.0034799271831711387,1.9509750770721637,2015,7,127.43211864925509,126.440002,126.599998,125.43
2015-07-07,125.889999,126.150002,123.769997,125.690002,115.628525,46946800,126.40800010000001,128.17419948,-0.0024603015873014833,1.8266491156488782,2015,7,127.31972402672251,126.0,126.440002,126.599998
2015-07-08,124.480003,124.639999,122.540001,122.57,112.758286,60761600,125.9620002,127.9725996,-0.024822992683220857,2.0515807033017706,2015,7,127.01329021854686,125.690002,126.0,126.440002
2015-07-09,123.849998,124.059998,119.220001,120.07,110.458405,78595000,125.15800010000001,127.76279964000001,-0.02039650811781024,2.3369707409031095,2015,7,126.56533601089866,122.57,125.690002,126.0
2015-07-10,121.940002,123.849998,121.209999,123.279999,113.41143,61354500,124.73600000000002,127.65559964,0.02673439660198218,2.2991643384785823,2015,7,126.35337878438908,120.07,122.57,125.690002
2015-07-13,125.029999,125.760002,124.32,125.660004,115.600922,41440500,124.6270004,127.66579968,0.01930568639929975,2.231820770236459,2015,7,126.30864492733173,123.279999,120.07,122.57
2015-07-14,126.040001,126.370003,125.040001,125.610001,115.554909,31768100,124.73500059999999,127.59899976000001,-0.000397922954069041,2.136726990494038,2015,7,126.26357112556839,125.660004,123.279999,120.07
2015-07-15,125.720001,127.150002,125.580002,126.82,116.66806,33649200,124.8740006,127.56139981999999,0.009632982966061743,2.050285469211617,2015,7,126.29946976262849,125.610001,125.660004,123.279999
2015-07-16,127.739998,128.570007,127.349998,128.509995,118.222786,36222400,125.0650003,127.61559966,0.013325934395205907,1.9765116404414533,2015,7,126.4420842940718,126.82,125.610001,125.660004
2015-07-17,129.080002,129.619995,128.309998,129.619995,119.243912,46164700,125.38299959999999,127.70779952000001,0.00863746045589675,1.9895006684971561,2015,7,126.64711079122846,128.509995,126.82,125.610001
2015-07-20,130.970001,132.970001,130.699997,132.070007,121.497826,58900200,125.99000029999999,127.84399962000002,0.018901497411722756,2.1969255610097407,2015,7,126.9969750627621,129.619995,128.509995,126.82
2015-07-21,132.850006,132.919998,130.320007,130.75,120.283463,76756400,126.49600009999999,127.90659956000002,-0.009994752252871497,2.309365642782849,2015,7,127.23910570387423,132.070007,129.619995,128.509995
2015-07-22,121.989998,125.5,121.989998,125.220001,115.196144,115450600,126.76100019999998,127.88459958,-0.04229444741873811,2.324982159129981,2015,7,127.10884088426943,130.75,132.070007,129.619995
2015-07-23,126.199997,127.089996,125.059998,125.160004,115.14093,50999500,127.2700006,127.8703996,-0.0004791327225751596,2.3071663779935174,2015,7,126.98310947238107,125.220001,130.75,132.070007
2015-07-24,125.32,125.739998,123.900002,124.5,114.533791,42162300,127.3920007,127.84019956,-0.005273282030256232,2.3085822126116597,2015,7,126.82290886125972,125.160004,125.220001,130.75
2015-07-27,123.089996,123.610001,122.120003,122.769997,112.942253,44455500,127.10300000000002,127.71659955999999,-0.013895606425702756,2.402410388529806,2015,7,126.56143067666233,124.5,125.160004,125.220001
2015-07-28,123.379997,123.910004,122.550003,123.379997,113.503433,33618100,126.87999960000002,127.60879942,0.004968640668778335,2.459868192482562,2015,7,126.35617689107121,122.769997,124.5,125.160004
2015-07-29,123.150002,123.5,122.269997,122.989998,113.144638,37011700,126.49699939999998,127.46479933999998,-0.00316095809274497,2.5150518060926763,2015,7,126.13900405938921,123.379997,122.769997,124.5
2015-07-30,122.32,122.57,121.709999,122.370003,112.574303,33628300,125.8830002,127.31079925999998,-0.005041019677063496,2.5925691012321064,2015,7,125.89584270071893,122.989998,123.379997,122.769997
2015-07-31,122.599998,122.639999,120.910004,121.300003,111.589928,42885000,125.051001,127.13559936,-0.008743972981679171,2.6970322192291474,2015,7,125.59933691357578,122.370003,122.989998,123.379997
2015-08-03,121.5,122.57,117.519997,118.440002,108.958878,69976000,123.6880005,126.87659942,-0.023577913679029283,2.9976480428958676,2015,8,125.13744433850637,121.300003,122.370003,122.989998
2015-08-04,117.419998,117.699997,113.25,114.639999,105.463081,124138600,122.0770004,126.51859954000001,-0.032083780275518725,3.5552366376545677,2015,8,124.46018980053822,118.440002,121.300003,122.370003
2015-08-05,112.949997,117.440002,112.099998,115.400002,106.162231,99312600,121.09500050000001,126.23419968,0.0066294749357072025,3.9389072305314707,2015,8,123.8756615553422,114.639999,118.440002,121.300003
2015-08-06,115.970001,116.5,114.120003,115.129997,106.393257,52903000,120.09199980000001,125.89599976,-0.0023397313286007693,4.2419713853617536,2015,8,123.3114251324169,115.400002,114.639999,118.440002
